,CB,AWK,SCU,JNJ,MO
2021-03-24,,,,,0.86
2021-03-18,0.78,,,,
2021-02-24,,,2.35,,
2021-02-22,,,,1.01,
2021-02-05,,0.55,,,
2020-12-24,,,,,0.86
2020-12-17,0.78,,,,
2020-11-23,,,,1.01,
2020-11-09,,0.55,,,
2020-09-17,0.78,,,,
2020-09-14,,,,,0.86
2020-08-24,,,,1.01,
2020-08-11,,0.55,,,
2020-06-18,0.78,,,,
2020-06-12,,,,,0.84
2020-05-22,,,,1.01,
2020-05-11,,0.55,,,
2020-03-24,,,,,0.84
2020-03-19,0.75,,,,
2020-02-24,,,0.53,,
2020-02-24,,,,0.95,
2020-02-06,,0.5,,,
2019-12-24,,,,,0.84
2019-12-19,0.75,,,,
2019-11-25,,,,0.95,
2019-11-15,,,0.03,,
2019-11-08,,0.5,,,
2019-09-19,0.75,,,,
2019-09-13,,,,,0.84
2019-08-26,,,,0.95,
2019-08-13,,,0.32,,
